epoch,train_acc,train_loss,test_acc,test_loss,,,,,,,,
6,0.984293194,0.031251573,0.916666667,0.21925015,,,,,,,,
,,,,,,,,,,,,
7,0.986910995,0.022715664,0.916666667,0.229023459,,,,,,,,
,,,,,,,,,,,,
8,0.989528796,0.01965448,0.90625,0.237194128,,,,,,,,
,,,,,,,,,,,,
9,0.989528794,0.017330665,0.916666667,0.245512078,,,,,,,,
,,,,,,,,,,,,
0,0.704188479,0.510578364,0.802083333,0.418114454,,,,,,,,
,,,,,,,,,,,,
1,0.939790574,0.28252345,0.90625,0.281824643,,,,,,,,
,,,,,,,,,,,,
2,0.955497383,0.172821157,0.916666667,0.225241949,,,,,,,,
,,,,,,,,,,,,
3,0.976439791,0.109021593,0.916666667,0.183901072,,,,,,,,
,,,,,,,,,,,,
4,0.979057589,0.062915394,0.916666667,0.157146508,,,,,,,,
,,,,,,CNN GRU,,,,,,
5,0.984293192,0.033792664,0.927083333,0.149502389,,,,,,,,
,,,,,,,,,,,,
6,0.989528796,0.021860329,0.916666667,0.153421732,,,,,,,,
,,,,,,,,,,,,
7,0.989528796,0.019886472,0.927083333,0.236206646,,,,,,,,
,,,,,,,,,,,,
8,0.984293194,0.023823032,0.916666667,0.192470036,,,,,,,,
,,,,,,,,,,,,
9,0.989528796,0.017248387,0.916666667,0.186040235,,,,,,,,
,,,,,,,,,,,,
0,0.602094241,0.62944196,0.802083333,0.46063895,,,,,,,,
,,,,,,,,,,,,
1,0.874345548,0.347939127,0.927083333,0.305831343,,,,,,,,
,,,,,,,,,,,,
2,0.963350783,0.196758023,0.916666667,0.222789784,,,,,,,,
,,,,,,,,,,,,
3,0.973821987,0.121488214,0.927083333,0.184557314,,,,,,,,
,,,,,,,,,,,,
4,0.968586385,0.088727981,0.927083333,0.167474642,,,,,,,,
,,,,,,CNN GRU BACKWARD,,,,,,
5,0.971204186,0.071636177,0.90625,0.177306041,,,,,,,,
,,,,,,,,,,,,
6,0.984293192,0.048184247,0.927083333,0.167541688,,,,,,,,
,,,,,,,,,,,,
7,0.989528796,0.035204394,0.927083333,0.157438185,,,,,,,,
,,,,,,,,,,,,
8,0.986910995,0.031414829,0.927083333,0.156293402,,,,,,,,
,,,,,,,,,,,,
9,0.989528796,0.025038571,0.9375,0.157530829,,,,,,,,
,,,,,,,,,,,,
0,0.492146596,0.888819896,0.59375,0.603288909,,,,,,,,
,,,,,,,,,,,,
1,0.774869111,0.45666334,0.75,0.439304054,,,,,,,,
,,,,,,,,,,,,
2,0.900523558,0.289466561,0.78125,0.357859681,,,,,,,,
,,,,,,,,,,,,
3,0.968586387,0.185151775,0.822916667,0.312438985,,,,,,,,
,,,,,,,,,,,,
4,0.984293194,0.131888622,0.822916667,0.286002696,,,,,,,,
,,,,,,CNN,,,,,,
5,0.989528796,0.098344495,0.854166667,0.268989692,,,,,,,,
,,,,,,,,,,,,
6,0.984293194,0.07429818,0.864583333,0.254070133,,,,,,,,
,,,,,,,,,,,,
7,0.986910993,0.066161097,0.864583333,0.242598603,,,,,,,,
,,,,,,,,,,,,
8,0.989528796,0.054328287,0.895833333,0.237965902,,,,,,,,
,,,,,,,,,,,,
9,0.989528796,0.044249183,0.916666667,0.234768202,,,,,,,,
,,,,,,,,,,,,
0,0.649214661,0.625088603,0.6875,0.588623613,,,,,,,,
,,,,,,,,,,,,
1,0.816753927,0.448427833,0.739583333,0.552487502,,,,,,,,
,,,,,,,,,,,,
2,0.832460731,0.427237415,0.739583333,0.532493412,,,,,,,,
,,,,,,,,,,,,
3,0.866492147,0.342682919,0.739583333,0.538746635,,,,,,,,
,,,,,,,,,,,,
4,0.84816754,0.428576268,0.6875,0.668345372,,,,,,,,
,,,,,,RNN,,,,,,
5,0.835078535,0.429085479,0.697916667,0.649890572,,,,,,,,
,,,,,,,,,,,,
6,0.82460733,0.431764963,0.697916667,0.603253951,,,,,,,,
,,,,,,,,,,,,
7,0.753926703,0.505534828,0.583333333,0.679242214,,,,,,,,
,,,,,,,,,,,,
8,0.578534031,0.547634532,0.583333333,0.673933148,,,,,,,,
,,,,,,,,,,,,
9,0.698952879,0.538777826,0.583333333,0.667790989,,,,,,,,
,,,,,,,,,,,,
0,0.617801049,0.734475942,0.6875,0.601848185,,,,,,,,
,,,,,,,,,,,,
1,0.82984293,0.356110469,0.729166667,0.559697906,,,,,,,,
,,,,,,,,,,,,
2,0.910994763,0.200627493,0.760416667,0.549338937,,,,,,,,
,,,,,,,,,,,,
3,0.958115181,0.144259434,0.791666667,0.493857096,,,,,,,,
,,,,,,,,,,,,
4,0.976439791,0.11109317,0.833333333,0.45631516,,,,,,,,
,,,,,,RNN BACKWARD,,,,,,
5,0.976439791,0.107816055,0.791666667,0.416796168,,,,,,,,
,,,,,,,,,,,,
